train_snr,test_snr,mse,psnr
0.0,0.0,898.8731731445313,19.231250149536134
0.0,5.0,836.6769823242188,19.634472344970703
0.0,10.0,817.6639130859375,19.768720126342775
0.0,20.0,809.6498203125,19.826276287841797
5.0,0.0,913.4609022460937,19.125561614990236
5.0,5.0,822.3234590820313,19.70849162902832
5.0,10.0,794.6297366210938,19.90692368774414
5.0,20.0,783.0592942382813,19.992764010620117
10.0,0.0,892.0538428710937,19.180063330078124
10.0,5.0,772.9622608398438,19.985307302856445
10.0,10.0,736.5073934570313,20.273999743652343
10.0,20.0,721.6561079101563,20.398715075683594
20.0,0.0,1126.429253125,18.037058346557618
20.0,5.0,885.905580859375,19.323022271728515
20.0,10.0,812.1998280273438,19.83039810180664
20.0,20.0,782.3262270507812,20.059211975097657
